 population size , growth rate , heritability , outbreeding depression , recombination rate , w0  , 
125,1.5,0.1,0,0.5,0.02,
125,1.5,0.2,0,0.5,0.05,
125,1.5,0.3,0,0.5,0.02,
125,3,0.1,0,0.5,0.05,
125,3,0.2,0,0.5,0.02,
125,3,0.3,0,0.5,0.005,
125,6,0.1,0,0.5,0.005,
125,6,0.2,0,0.5,0.005,
125,6,0.3,0,0.5,0.0005,
500,1.5,0.1,0,0.5,0.1,
500,1.5,0.2,0,0.5,0.035,
500,1.5,0.3,0,0.5,0.005,
500,3,0.1,0,0.5,0.03,
500,3,0.2,0,0.5,0.005,
500,3,0.3,0,0.5,0.003,
500,6,0.1,0,0.5,0.01,
500,6,0.2,0,0.5,0.005,
500,6,0.3,0,0.5,0.001,
1000,1.5,0.1,0,0.5,0.08,
1000,1.5,0.2,0,0.5,0.015,
1000,1.5,0.3,0,0.5,0.005,
1000,3,0.1,0,0.5,0.02,
1000,3,0.2,0,0.5,0.002,
1000,3,0.3,0,0.5,0.0005,
1000,6,0.1,0,0.5,0.005,
1000,6,0.2,0,0.5,0.002,
1000,6,0.3,0,0.5,0.0004,
500,3,0.2,50,0.5,0.005,
500,3,0.2,10,0.5,0.005,
500,3,0.2,0,0.25,0.005,
500,3,0.2,50,0.25,0.005,
500,3,0.2,10,0.25,0.005,
